GdnHCl (M),k
0,71.79608873
0.0857456,62.97513714
0.188417,49.03674917
0.291142,41.5015178
0.386499,33.89203395
0.496561,28.3441313
0.591934,23.70509491
0.995443,11.32372407
1.50165,4.417438486
2.00056,1.828979205
2.51419,0.803684902
3.00575,0.332757927
3.51209,0.157048595
4.99634,0.347806148
5.49625,0.684968793
6.00356,1.466183843
6.49612,2.853367855
7.00331,5.048342643
