Urea,80uM#2 raw data-Baseline trLcrH
0,-195.34956
0.2485,-196.76956
0.497,-200.07956
0.7455,-194.40956
0.994,-187.73956
1.2425,-179.50956
1.491,-167.55956
1.7395,-158.91956
1.988,-149.68956
2.2365,-140.94956
2.485,-132.77956
2.7335,-125.81956
2.982,-121.55956
3.2305,-115.44956
3.479,-114.13956
3.7275,-107.75956
3.976,-107.60956
4.2245,-97.50956
4.473,-88.68256
4.7215,-81.49656
5.0943,-52.32956
5.2185,-51.10256
5.467,-45.89656
5.7155,-32.66656
5.964,-27.18356
6.2125,-20.62256
6.461,-15.12756
6.7095,-13.24256
6.958,-8.98986
