Urea,80uM#1 raw data-Baseline trLcrH
0,-226.10956
0.2513,-211.15956
0.5025,-215.90956
0.7538,-212.73956
1.2563,-192.52956
1.5075,-174.05956
1.7588,-156.69956
2.01,-159.49956
2.2613,-152.30956
2.5125,-133.46956
2.7638,-128.84956
3.015,-124.55956
3.2663,-122.14956
3.5175,-114.67956
3.7688,-111.37956
4.02,-114.15956
4.2713,-102.81956
4.5225,-95.40256
4.7738,-77.12156
5.025,-56.58056
5.2763,-33.81456
5.5275,-30.43456
5.7788,-23.39156
6.03,-21.27256
6.2813,-14.73056
6.5325,-13.96156
6.7838,-12.26456
7.035,-11.26256
7.2863,-10.09976
7.5375,-9.30526
7.7888,-8.85446
8.04,-8.35696
8.2913,-7.56756
