GuHCl,H10 0SB Norm
0,0.031648725
0.106,
0.212,0.018240355
0.318,
0.424,0.009857833
0.53,
0.636,0.014256819
0.742,
0.848,-0.001130703
0.954,
1.06,-0.032311974
1.166,
1.272,-0.021652407
1.378,
1.484,-0.031145216
1.59,
1.696,-0.018159818
1.802,
1.908,-0.000295059
2.014,
2.12,-0.03861473
2.226,-0.004707862
2.332,-0.043662185
2.438,-0.004780168
2.544,0.02535791
2.65,-0.010720522
2.756,0.047512682
2.862,0.020738773
2.968,0.108281334
3.074,0.067181464
3.18,0.166655937
3.286,0.251653271
3.392,0.433847604
3.498,0.646830672
3.604,0.852655682
3.71,0.902948741
3.816,0.970734407
3.922,0.979636775
4.028,1.004809129
4.134,1.003598282
4.24,0.993979128
4.346,0.989125091
4.452,0.986801191
4.558,0.979359008
4.664,0.989606645
4.77,1.002784354
4.876,1.001396943
4.982,0.98649781
5.088,0.985816123
5.194,0.999379793
5.3,1.001901845
5.406,1.00212403
5.512,0.999866873
5.618,1.000242366
5.724,1.001849462
5.83,0.995408918
5.936,0.995488862
6.042,1.011067247
6.148,
6.254,1.015668801
6.36,
6.466,1.009171426
6.572,
6.678,1.007331571
6.784,
6.89,0.995265574
6.996,
7.066667,0.997162488
