GuHCl,H8 0SB Norm
0,0.052176779
0.106,
0.212,0.055872519
0.318,
0.424,0.005376493
0.53,
0.636,-0.008373267
0.742,
0.848,-0.022480232
0.954,
1.06,-0.029355573
1.166,
1.272,-0.070127154
1.378,
1.484,-0.015972059
1.59,
1.696,-0.014195394
1.802,-0.009101847
1.908,-0.035035503
2.014,-0.033935915
2.12,-0.01735773
2.226,-0.022612221
2.332,-0.018174967
2.438,0.023197944
2.544,0.028114599
2.65,0.066319897
2.756,0.082250837
2.862,0.09900228
2.968,0.119935149
3.074,0.164208892
3.18,0.289341147
3.286,0.402565853
3.392,0.66951925
3.498,0.812952461
3.604,0.916377945
3.71,0.938178999
3.816,0.977509275
3.922,0.974881046
4.028,0.986584344
4.134,0.997200702
4.24,0.99298278
4.346,0.979386457
4.452,1.003045368
4.558,0.992910655
4.664,0.99430503
4.77,1.000737671
4.876,0.987358119
4.982,1.000416828
5.088,1.001535299
5.194,0.989932251
5.3,0.998582965
5.406,0.987772399
5.512,0.995213911
5.618,1.001393513
5.724,
5.83,1.015542256
5.936,
6.042,1.000186432
6.148,
6.254,1.00727004
6.36,
6.466,1.017870138
6.572,
6.678,1.011880942
6.784,
6.89,0.992349749
6.996,
7.066667,0.99617275
